rank,idea_id,idea_name,old_score,new_score,score_delta,old_decision,new_decision,evidence_status,top25_eligible,repair_notes,source_issue_ids
-,RID-001,800VDC busway,81,80,-1,P,P,CLEARED_WITH_WEAKNESS,yes,OCP re-tiered Tier2; pain holds; impact small | 02e: OCP Diablo spec Tier1->Tier2; UL857>600V codification lag. PW-1.,ISSUE-001;ISSUE-006
-,RID-040,Datacenter waste-heat recovery,67,66,-1,W,W,CLEARED_WITH_WEAKNESS,yes,"07c: PH-007 EU EED + German EnEfG final law; cleared-with-weakness (EU/Germany geography limit) | 02e: Driver EU/Germany-bounded (Dir 2023/1791 Art 26.6 + EnEfG, eff 1 Jul 2026); weak China-first wedge. Geography-flagged. CW-1.",ISSUE-014-040
-,RID-017,Sodium-ion grid module,65,65,0,W,W,CLEARED,yes,07c: PH-008 GB/T 44265-2024 + PNNL/DOE; cleared | 02e: Placeholder CLEARED on GB/T 44265-2024 (Tier1) -> no reduction. China-incumbent competition already priced.,ISSUE-014-017
-,RID-032,EV-fleet bidirectional charger,63,63,0,W,W,CLEARED,yes,07c: PH-009 ISO 15118-20 + EVS38 V2G demo; cleared | 02e: Placeholder CLEARED on ISO 15118-20:2022 (Tier1) -> no reduction.,ISSUE-014-032
-,RID-012,Behind-the-meter firm-power interface,63,62,-1,W,W,CLEARED,yes,07c: PH-010 IEA 2026/2025 onsite-power + LBNL queue scarcity; cleared | 02e: IEA onsite gas/battery figures are 2030 projections; LBNL 'Queued Up' excludes behind-the-meter; borders on integration. Eligible; flagged. PW-1.,ISSUE-014-012
-,RID-022,Microgrid DC-coupling hub,61,61,0,W,W,CLEARED_WITH_WEAKNESS,yes,07c: PH-011 IEEE 2030.10 + DOE OE; cleared-with-weakness (diffuse/narrow scope) | 02e: Placeholder CLEARED on IEEE 2030.10-2021 + DOE OE (Tier1) -> no reduction.,ISSUE-014-022
-,RID-097,Laser micro-machining cell,56,56,0,W,W,CLEARED_WITH_WEAKNESS,yes,07c: PH-012 peer-reviewed TGV laser micromachining; cleared-with-weakness (generic application) | 02e: Placeholder CLEARED on JMPT 2025 (Tier1) -> no reduction. Commoditized job-shop risk already priced.,ISSUE-014-097
-,RID-082,Implantable neurostimulator power,55,55,0,W,W,CLEARED,yes,07c: PH-013 neural-implant power/longevity review; cleared | 02e: Placeholder CLEARED on Front. Neurosci. 2023 (Tier1) -> no reduction. FDA burden already priced.,ISSUE-014-082
-,RID-101,Molten-salt-resistant alloy,55,53,-2,W,W,CLEARED_WITH_WEAKNESS,yes,07c: PH-014 JOM/ORNL molten-salt corrosion; cleared-with-weakness (timeline likely past 2030) | 02e: Molten-salt customer deployment largely >2030; near-term (<=2030) first-customer demand discounted. Eligible-with-weakness; timing-flagged. TRL-2.,ISSUE-014-101
-,RID-094,AM in-situ NDE,50,50,0,K,K,HOLD,no,"07c: NIST AM-Bench Tier1 exists but prior-kill + monitoring-overproduction; HOLD, no standalone procurement/standards driver | 02e: Diagnostic/NDE-overproduction; prior kill; no standalone procurement/standards driver. HOLD stands.",ISSUE-014-094
-,RID-099,Extreme-precision metrology instrument,49,49,0,W,W,HOLD,no,"07c: PH-015 Nature Electronics + NIST overlay (sub-1nm); cleared-with-weakness (monitoring-adjacent, re-test at 02e) | 02e: Re-tested vs diagnostic/metrology-overproduction hard filter: standalone metrology instrument with no non-diagnostic function -> HOLD (consistent with RID-094). Revive only on a procurement/standard demanding it as a purchased capability.",ISSUE-014-099
